84,descendant,n.后代，后裔；派生物
69,stagnant,adj.不流动的
634,reflection,n.映像
627,terrestrial,adj.地球的，陆地的；n.地球上的人
616,arousal,n.觉醒，激励，唤起
613,meteoric,adj.流星的；突然的；转瞬即逝的
607,desirable,adj.有吸引力的
604,periphery,n.外围，不重要的部份
578,fortuitous,adj.幸运的
576,amount,n.数量；v.总计
556,integrity,n.正直，真诚
550,disguise,v.伪装；掩饰，掩盖
545,enlarge,v.放大，扩展
540,intoxication,n.醉酒；陶醉
534,sediment,n.沉渣，沉淀物，沉淀
533,pollutant,n.污染物质；adj.造成污染的
520,desired,adj.渴望的，想得到的
514,various,adj.各种各样的，不同的
493,despondent,adj.失望的，意气消沉的，没有精神的
481,elaborately,adv.苦心经营地；精巧地
478,sophistication,n.复杂性
471,classify,vt.把……分类
452,exist,vi.存在；生存，生活
449,geographical,adj.地理的，地理学的
434,expectation,n.期望；预期
433,economic,adj.经济上的，经济学的
428,entertainment,n.娱乐；招待，款待
427,traditional,adj.传统的
422,structure,n.建筑物；结构；vt.精心组织
42,preservation,n.保存，保护
412,architectural,adj.建筑上的，建筑学的
393,conserve,v.保护，保存
380,depressed,adj.沮丧的；萧条的；低迷的
365,recognition,n.承认，认可
335,basin,n.水池
317,annually,adv.一年一次；每年
309,chemical,n.化学品；adj.化学的，与化学有关的
30,emergence,n.冒出；浮现
285,plutonic,adj.深层岩体的，冥王星的
281,altogether,adv.总共；总而言之
278,British,adj.英国的，不列颠的
277,insulation,n.绝缘；隔离
275,successive,adj.接连的；连续的
263,relation,n.关系，联系
26,commercially,adv.商业上
259,archaic,adj.已不通用的；陈旧的，过时的，老式的
248,Sioux,n.苏族（印第安人的一族，自称达科他Dakota族）
239,capillary,n.毛细血管；adj.毛细血管的
234,plateau,n.高原；vi.到达平稳阶段
233,engine,n.引擎；发动机
23,deterioration,n.变坏，退化，恶化
22,algae,n.藻类
202,lacks,v.缺乏，不足，没有，需要
196,count,v.计算；认为
193,agrarian,adj.耕地的
181,occurrence,n.发生，出现
175,imitative,adj.模仿的，仿制的
174,condition,n.环境，形势；状况，状态；疾病；v.使适应，…
171,awareness,n.意识
17,representation,n.代表；陈述
163,Scandinavian,adj.斯堪的纳维亚（人）的；n.斯堪的纳维亚语…
159,diverse,adj.多样的
154,influential,adj.有极大影响力的
152,constitute,vt.构成，组成
130,Columbia,n.哥伦比亚
122,partially,adv.部分地
12,predatory,adj.捕食生物的
115,lack,n.缺乏，短缺；v.缺乏
11,geologic,adj.地质学的，地质的
